city,year,category,hectares
Freising,2017,veg_area,7860.19
Freising,2018,veg_area,7939.39
Freising,2017,bua_area,912.61
Freising,2018,bua_area,835.58
Freising,2017,other_area,91.97
Freising,2018,other_area,89.8
